,Name,Text,Time,Word count
16,President Donald J. Trump,"During that period of time, during that period of time, we have an opening. I’m not elected for three years. I’m elected for four years. Joe, the hundred million people is totally wrong. I don’t know where you got that number. The bigger problem that you have is that you’re going to extinguish 180 million people with their private health care, that they’re very happy this.",08:02,66
17,Vice President Joe Biden,That’s simply not true.,08:24,4
18,President Donald J. Trump,"Well, you’re certainly going to socialist. You’re going to socialist-",08:25,10
19,Chris Wallace,"Gentlemen, we’re now into open discussion.",08:29,6
20,Vice President Joe Biden,Open discussion.,08:31,2
21,Chris Wallace,"Open discussion, yes, I agree. Go ahead, Vice President.",08:32,9
22,Vice President Joe Biden,"Number one, he knows what I proposed. What I proposed is that we expand Obamacare and we increase it. We do not wipe any. And one of the big debates we had with 23 of my colleagues trying to win the nomination that I won, were saying that Biden wanted to allow people to have private insurance still. They can. They do. They will under my proposal.",08:33,67
23,President Donald J. Trump,That’s not what you’ve said and it’s not what your party is saying.,08:58,13
24,Vice President Joe Biden,That is simply a lie.,09:00,5
25,President Donald J. Trump,Your party doesn’t say it. Your party wants to go socialist medicine and socialist healthcare.,09:02,15
26,Vice President Joe Biden,"The party is me. Right now, I am the Democratic Party.",09:05,11
27,President Donald J. Trump,"And they’re going to dominate you, Joe. You know that.",09:08,10
28,Vice President Joe Biden,I am the Democratic Party right now.,09:09,7
29,President Donald J. Trump,Not according to Harris.,09:11,4
30,Vice President Joe Biden,"The platform of the Democratic Party is what I, in fact, approved of, what I approved of. Now, here’s the deal. The deal is that it’s going to wipe out pre-existing conditions. And, by the way, the 200,000 people that have died on his watch, how many of those have survived? Well, there’s seven million people that contracted COVID. What does it mean for them going forward if you strike down the Affordable Care Act?",09:12,75
31,President Donald J. Trump,"Joe, you’ve had 308,000 military people dying because you couldn’t provide them proper healthcare in the military. So don’t tell me about this.",09:39,23
32,Vice President Joe Biden,I’m happy to talk about this.,09:47,6
33,President Donald J. Trump,"And if you were here, it wouldn’t be 200, it would be two million people because you were very late on the draw. You didn’t want me to ban China, which was heavily infected. You didn’t want me to ban Europe.",09:48,41
34,Chris Wallace,"All right, gentlemen, Mr. President.",09:58,5
35,President Donald J. Trump,"You would have been much later, Joe, much later.",10:00,9
36,Chris Wallace,Mr. President.,10:04,2
37,President Donald J. Trump,We’re talking about two million people.,10:04,6
38,Vice President Joe Biden,You’re not going to be able to shut him up.,10:05,10
39,Chris Wallace,"Mr. President, as the moderator, we are going to talk about COVID in the next segment. But go ahead.",10:06,19
40,Vice President Joe Biden,"Let me finish. The point is that the President also is opposed to Roe V. Wade. That’s on the ballot as well and the court, in the court, and so that’s also at stake right now. And so the election is all-",10:11,42
41,President Donald J. Trump,You don’t know what’s on the ballot. Why is it on the ballot? Why is it on the ballot? It’s not on the ballot.,10:25,24
42,Vice President Joe Biden,It’s on the ballot in the court.,10:31,7
43,President Donald J. Trump,I don’t think so.,10:32,4
44,Vice President Joe Biden,In the court.,10:33,3
45,President Donald J. Trump,There’s nothing happening there.,10:34,4
46,Vice President Joe Biden,Donald would you just be quiet for a minute.,10:35,9
47,President Donald J. Trump,You don’t know her view on Roe V. Wade? You don’t know here view.,10:36,14
48,Chris Wallace,"Well, all right. All right. Let’s talk. We’ve got a lot to unpack here, gentlemen. We’ve got a lot of time. On healthcare, and then we’ll come back to Roe V. Wade.",10:40,32
49,Vice President Joe Biden,All right.,10:51,2
50,Chris Wallace,"Mr. President, the Supreme Court will hear a case a week after the election in which the Trump Administration, along with 18 state Attorney Generals are seeking to overturn Obamacare, to end Obamacare.",10:51,33
51,President Donald J. Trump,That’s right.,11:05,2
52,Chris Wallace,You have spent the last week-,11:05,6
53,President Donald J. Trump,Because they want to give good healthcare.,11:07,7
54,Chris Wallace,"If I may ask my question, sir.",11:08,7
55,Vice President Joe Biden,Good healthcare.,11:11,2
56,Chris Wallace,"Over the last four years, you have promised to repeal and replace Obamacare, but you have never in these four years come up with a plan, a comprehensive plan, to replace Obamacare.",11:11,32
57,President Donald J. Trump,"Yes, I have. Of course, I have. The individual mandate.",11:25,10
58,Chris Wallace,[crosstalk 00:11:26] when I finish I’m going to give an opportunity-,11:26,11
59,President Donald J. Trump,"Excuse me. I got rid of the individual mandate, which was a big chunk of Obamacare.",11:28,16
60,Chris Wallace,That’s not a comprehensive place.,11:31,5
61,President Donald J. Trump,That is absolutely a big thing. That was the worst part of Obamacare.,11:32,13
62,Chris Wallace,"I didn’t ask, sir.",11:35,4
63,President Donald J. Trump,"Chris, that was the worst part of Obamacare.",11:36,8
64,Chris Wallace,You’re debating him not me. Let me ask my question.,11:38,10
65,President Donald J. Trump,"Well, I’ll ask Joe. The individual mandate was the most unpopular aspect of Obamacare.",11:38,14
66,Chris Wallace,Mr. President.,11:44,2
67,President Donald J. Trump,I got rid of it. And we will protect people.,11:44,10
68,Chris Wallace,"Mr. President, I’m the moderator of this debate and I would like you to let me ask my question and then you can answer.",11:46,24
69,President Donald J. Trump,Go ahead.,11:52,2
70,Chris Wallace,"You, in the course of these four years, have never come up with a comprehensive plan to replace Obamacare, and just this last Thursday you signed a largely symbolic Executive Order to protect people with pre-existing conditions five days before this debate. So my question, sir, is what is the Trump healthcare plan?",11:53,53
71,President Donald J. Trump,"Well, first of all, I guess I’m debating you, not him, but that’s okay. I’m not surprised. Let me just tell you something. There’s nothing symbolic. I’m cutting drug prices. I’m going with Favored Nations, which no President has the courage to do because you’re going against big pharma. Drug prices will be coming down 80 or 90%. You could have done it during your 47 year period in government, but you didn’t do it. Nobody’s done it. So we’re cutting healthcare.",12:16,82
72,Chris Wallace,What about pre-existing conditions?,12:40,4
73,President Donald J. Trump,All of the things that we’ve done.,12:40,7
74,Vice President Joe Biden,He has not done healthcare.,12:41,5
75,President Donald J. Trump,"I’ll give you an example. Insulin, it was destroying families, destroying people, the cost. I’m getting it for so cheap it’s like water, you want to know the truth. So cheap. Take a look at all of the drugs that what we’re doing. Prescription drug prices, we’re going to allow our Governors now to go to other countries to buy drugs because when they paid just a tiny fraction of what we do.",12:42,73
76,Chris Wallace,"Okay, like I say, this is open discussion.",13:03,8
77,President Donald J. Trump,This is big stuff.,13:04,4
78,Chris Wallace,"Sir, you’ll be happy. I’m about to pick up on one of your points to ask the Vice President, which is, he points out that you would like to add a public option to Obamacare.",13:06,35
79,Vice President Joe Biden,Yes.,13:17,1
80,Chris Wallace,And the argument that he makes and other Republicans make is that that is going to end private insurance.,13:17,19
81,Vice President Joe Biden,It is not.,13:23,3
82,Chris Wallace,If I start asking the question.,13:25,6
83,President Donald J. Trump,"That’s not what your party says, by the way.",13:26,9
84,Chris Wallace,And it will end private insurance and create a government takeover of health.,13:29,13
85,Vice President Joe Biden,"It does not. It’s only for those people who are so poor they qualify for Medicaid they can get that free in most States, except Governors who want to deny people who are poor Medicaid. Anyone who qualifies for Medicaid would automatically be enrolled in the public option. The vast majority of the American people would still not be in that option. Number one. Number two.",13:32,66
86,President Donald J. Trump,"Joe, you agreed with Bernie Sanders, who’s far left, on the manifesto, we call it. And that gives you socialized medicine.",13:57,21
87,Vice President Joe Biden,"Look, hey.",14:04,2
88,President Donald J. Trump,Are you saying you didn’t agree?,14:05,6
89,Vice President Joe Biden,I’m not going to listen to him. The fact of the matter is I beat Bernie Sanders.,14:06,17
90,President Donald J. Trump,Not by much.,14:10,3
91,Vice President Joe Biden,I beat him by a whole hell of a lot.,14:10,10
92,President Donald J. Trump,Not by much.,14:12,3
93,Vice President Joe Biden,"I’m here standing facing you, old buddy.",14:12,7
94,President Donald J. Trump,If Pocahontas would have left two days early you would have lost every primary.,14:14,14
95,Vice President Joe Biden,All he knows how to do-,14:17,6
96,President Donald J. Trump,"On Super Tuesday, you got very lucky.",14:18,7
97,Vice President Joe Biden,Look he’s the deal. I got very lucky. I’m going to get very lucky tonight as well.,14:21,17
98,President Donald J. Trump,With what?,14:23,2
99,Vice President Joe Biden,And tonight I’m going to make sure.,14:23,7
100,President Donald J. Trump,With what?,14:25,2
101,Vice President Joe Biden,"Because here’s the deal, here’s the deal. The fact is that everything he’s saying so far is simply a lie. I’m not here to call out his lies. Everybody knows he’s a liar.",14:25,33
102,President Donald J. Trump,"But you agree. Joe, you’re the liar. You graduated last in your class not first in your class.",14:34,18
103,Vice President Joe Biden,"God, I want to make sure-",14:41,6
104,Chris Wallace,"Mr. President, can you let him finish, sir?",14:43,8
105,Vice President Joe Biden,"No, he doesn’t know how to do that.",14:44,8
106,President Donald J. Trump,"You’d be surprised. You’d be surprised. Go ahead, Joe.",14:46,9
107,Vice President Joe Biden,"The wrong guy, the wrong night, at the wrong time.",14:47,10
108,President Donald J. Trump,"Listen, you agreed with Bernie Sanders and the manifesto.",14:51,9
109,Vice President Joe Biden,"There is no manifesto, number one.",14:55,6
110,Chris Wallace,"Please let him speak, Mr. President.",14:57,6
111,Vice President Joe Biden,Number two.,14:58,2
112,President Donald J. Trump,He just lost the left.,14:58,5
113,Vice President Joe Biden,Number two.,14:59,2
114,President Donald J. Trump,"You just lost the left. You agreed with Bernie Sanders on a plan that you absolutely agreed to and under that plan [crosstalk 00:15:10], they call it socialized medicine.",15:01,29
115,Chris Wallace,Mr. President.,15:13,2
116,Vice President Joe Biden,"I’ll tell you what, he is not for any help for people needing healthcare.",15:14,14
117,President Donald J. Trump,"Who is, Bernie?",15:20,3
118,Vice President Joe Biden,"Because he, in fact, already has costs 10 million people their healthcare that they had from their employers because of his recession. Number one. Number two, there are 20 million people getting healthcare through Obamacare now that he wants to take it away. He won’t ever look you in the eye and say that’s what he wants to do. Take it away.",15:21,62
119,President Donald J. Trump,"No, I want to give them better healthcare at a much lower price, because Obamacare is no good.",15:41,18
120,Vice President Joe Biden,He doesn’t know how. He doesn’t know how to do that.,15:45,11
121,President Donald J. Trump,I’ve already fixed it.,15:46,4
122,Vice President Joe Biden,He has never offered a plan.,15:47,6
123,President Donald J. Trump,"We’ve already fixed it to an extent. Obamacare, as you might know but probably don’t, Obamacare is no good.",15:49,19
124,Chris Wallace,"Gentlemen, you realize if you’re both speaking at the same time. Let the President. Go ahead, sir.",15:54,17
125,President Donald J. Trump,"Obamacare is no good. We made it better and I had a choice to make very early on. We took away the individual mandate. We guaranteed pre-existing conditions, but took away the individual mandate. Listen, this is the way it is. And that destroyed … They shouldn’t even call it Obamacare, then I had a choice to make, do I let my people run it really well or badly? If I run it badly, they’ll probably blame him, but they’ll blame me. But more importantly, I want to help people. Okay. I said, “You’ve got to run it so well.” And I just had a meeting with them. They said the problem is, no matter how well you run Obamacare, it’s a disaster. It’s too expensive. Premiums are too high, that it doesn’t work. So we do want to get rid of it. Chris, we want to get rid of that and give something that’s cheaper and better.",15:59,158
126,Chris Wallace,"I understand that, sir. But I have to give you roughly equal time.",16:42,13
127,President Donald J. Trump,Go ahead.,16:45,2
128,Chris Wallace,"Please let the Vice President talk, sir.",16:45,7
129,President Donald J. Trump,Good.,16:47,1
130,Vice President Joe Biden,He has no plan for healthcare.,16:48,6
131,President Donald J. Trump,"Of course, we do.",16:50,4
132,Chris Wallace,Please.,16:52,1
133,Vice President Joe Biden,"He sends out wishful thinking. He has Executive Orders that have no power. He hasn’t lowered drug costs for anybody. He’s been promising a healthcare plan since he got elected. He has none, like almost everything else he talks about. He does not have a plan. He doesn’t have a plan. And the fact is this man doesn’t know what he’s talking about. [crosstalk 00:17:14].",16:52,65
134,Chris Wallace,"All right, I have one final question for you.",17:13,9
135,Vice President Joe Biden,Sure.,17:15,1
136,Chris Wallace,"Mr. Vice President, if Senate Republicans, we were talking originally about the Supreme Court here, if Senate Republicans go ahead and confirm Justice Barrett there has been talk about ending the filibuster or even packing the court, adding to the nine justices there. You call this a distraction by the President. But, in fact, it wasn’t brought up by the President. It was brought up by some of your Democratic colleagues in the Congress. So my question to you is, you have refused in the past to talk about it, are you willing to tell the American tonight whether or not you will support either ending the filibuster or packing the court?",17:16,112
137,Vice President Joe Biden,"Whatever position I take on that, that’ll become the issue. The issue is the American people should speak. You should go out and vote. You’re voting now. Vote and let your Senators know strongly how you feel.",17:55,37
138,President Donald J. Trump,Are you going to pack the court?,18:05,7
139,Vice President Joe Biden,Vote now.,18:07,2
140,President Donald J. Trump,Are you going to pack the court?,18:08,7
141,Vice President Joe Biden,"Make sure you, in fact, let people know, your Senators.",18:09,10
142,President Donald J. Trump,He doesn’t want to answer the question.,18:12,7
143,Vice President Joe Biden,I’m not going to answer the question.,18:17,7
144,President Donald J. Trump,Why wouldn’t you answer that question? You want to put a lot of new Supreme Court Justices. Radical left.,18:18,19
145,Vice President Joe Biden,"Will you shut up, man?",18:18,5
146,President Donald J. Trump,"Listen, who is on your list, Joe? Who’s on your list?",18:20,11
147,Chris Wallace,"Gentlemen, I think we’ve ended this-",18:23,6
148,Vice President Joe Biden,This is so un-Presidential.,18:25,4
149,President Donald J. Trump,He’s going to pack the court. He is not going to give a list.,18:25,14
150,Chris Wallace,We have ended the segment. We’re going to move on to the second segment.,18:27,14
151,Vice President Joe Biden,"That was really a productive segment, wasn’t it? Keep yapping, man.",18:30,11
152,President Donald J. Trump,"The people understand, Joe.",18:35,4
153,Vice President Joe Biden,They sure do.,18:37,3
154,President Donald J. Trump,"47 years, you’ve done nothing. They’re understand.",18:37,7
155,Chris Wallace,"All right, the second subject is COVID-19, which is an awfully serious subject. So let’s try to be serious about it. We have had more than seven million cases of coronavirus in the United States and more than 200,000 people have died. Even after we produce a vaccine, experts say that it could be months or even years before we come back to anything approaching normal. My question for both of you is, based on what you have said and done so far, and what you have said you would do starting in 2021, why should the American people trust you more than your opponent to deal with this public health crisis going forward? In this case, the question goes to you first, sir. Two minutes, uninterrupted.",18:40,127
156,Vice President Joe Biden,"Good luck. 200,000 dead. As you said, over seven million infected in the United States. We, in fact, have 4% of the world’s population, 20% of the deaths. 40,000 people a day are contracting COVID. In addition to that, about between 750 and 1000 people a day are dying. When he was presented with that number, he said, “It is what it is.” Well, it is what it is because you are who you are. That’s why it is. The President has no plan. He hasn’t laid out anything. He knew all the way back in February how serious this crisis was. He knew it was a deadly disease. What did he do? He’s on tape as acknowledging he knew it. He said he didn’t tell us or give people a warning of it because he didn’t want to panic the American people. You don’t panic. He panicked. In addition to that, what did he do?",19:33,156
157,Vice President Joe Biden,He went in and we were insisting that the people we had in the ground in China should be able to go to Wuhan and determine for themselves how dangerous this was. He did not even ask Xi to do that.,20:30,41
158,President Donald J. Trump,Wrong.,20:43,1
159,Vice President Joe Biden,He told us what a great job Xi was doing. He said we owe him debt of gratitude for being so transparent with us. And what did he do then? He then did nothing. He waited and waited and waited. He still doesn’t have a plan.,20:43,46
160,President Donald J. Trump,Wrong.,20:57,1
161,Chris Wallace,"Sir, it’s his two minutes.",20:57,5
162,President Donald J. Trump,It’s so wrong.,20:57,3
163,Vice President Joe Biden,"I laid out back in March, exactly what we should be doing. And I laid out again in July, what we should be doing. We should be providing all the protective gear possible. We should be providing the money the House has passed in order to be able to go out and get people the help they need to keep their businesses open. Open schools cost a lot of money. You should get out of your bunker and get out of the sand trap in your golf course and go in the Oval Office and bring together the Democrats and Republicans and fund what needs to be done now to save lives.",20:57,112
164,President Donald J. Trump,"So, if we would have listened to you.",21:30,8
165,Chris Wallace,"Wait, wait. You have two minutes, sir.",21:31,7
166,President Donald J. Trump,"If we would’ve listened to you, the country would have been left wide open, millions of people would have died, not 200,000. And one person is too much. It’s China’s fault. It should have never happened. They stopped it from going in, but it was China’s fault. And, by the way, when you talk about numbers, you don’t know how many people died in China. You don’t know how many people died in Russia. You don’t know how many people died in India. They don’t exactly give you a straight count, just so you understand. But if you look at what we’ve done, I closed it and you said, “He’s xenophobic. He’s a racist and he’s xenophobic,” because you didn’t think I should have closed our country. Wait a minute.",21:31,130
167,Chris Wallace,"Sir, it’s his two minutes.",22:06,5
168,President Donald J. Trump,"You didn’t think we should have closed our country because you thought it was terrible. You wouldn’t have closed it for another two months. By my doing it early, in fact, Dr. Fauci said, “President Trump saved thousands of lives.” Many of your Democrat Governors said, “President Trump did a phenomenal job.” We worked with the Governor. Oh really, go take a look. The Governors said I did a phenomenal job. Most of them said that. In fact, people that would not be necessarily on my side said that, “President Trump did a phenomenal job.” We did. We got the gowns. We got the masks. We made the ventilators. You wouldn’t have made ventilators. And now we’re weeks away from a vaccine. We’re doing therapeutics already. Fewer people are dying when they get sick. Far fewer people are dying. We’ve done a great job.",22:07,144
169,President Donald J. Trump,"The only thing I haven’t done a good job, and that’s because of the fake news, no matter what you say to them, they give you a bad press on it. It’s just fake news. They give you good press, they give me bad press because that’s the way it is, unfortunately. But let me just say something. I don’t care. I’ve gotten used to it. But I’ll tell you, Joe, you could never have done the job that we did. You don’t have it in your blood. You could’ve never done that, Joe.",22:54,94
170,Vice President Joe Biden,I know how to do the job. I know how to get the job done.,23:15,15
171,President Donald J. Trump,"Well, you didn’t do very well in Swine Flu. H1-N1, you were a disaster. Your own Chief of Staff said you were a disaster.",23:18,24
172,Vice President Joe Biden,"14,000 people died, not 200,000.",23:25,5
173,President Donald J. Trump,"A far less lethal disease, by the way.",23:27,8
174,Chris Wallace,"Sir, you made a point. Let him answer it.",23:32,9
175,Vice President Joe Biden,"And there was no one … We didn’t shut down the economy. This is his economy he shut down. The reason it’s shut down is because, look, you folks at home. How many of you got up this morning and had an empty chair at the kitchen table because someone died of COVID? How many of you are in a situation where you lost your mom or dad and you couldn’t even speak to them, you had a nurse holding a phone up so you could in fact say goodbye?",23:33,90
176,President Donald J. Trump,"We would have lost far more people, far more people. You would have been months late. You’re months behind me, Joe.",23:57,21
177,Vice President Joe Biden,"His own CDC Director says we could lose as many as another 200,000 people between now and the end of the year. And he said, if we just wear a mask, we can save half those numbers. Just a mask. And by the way, in terms of the whole notion of a vaccine, we’re for a vaccine, but I don’t trust him at all. Nor do you. I know you don’t. What we trust is a scientist.",24:03,77
178,President Donald J. Trump,"You don’t trust Johnson & Johnson, Pfizer?",24:25,7
179, ,,,0
180,Chris Wallace,"Okay, gentlemen, gentlemen. Let me move on to questions about the future because you both have touched on two of the questions I’m going to ask. Focusing on the future first, President Trump, you have repeatedly either contradicted or been at odds with some of your governments own top scientists. The week before last, the Head of the Centers for Disease Control, Dr. Redfield said it would be summer before the vaccine would become generally available to the public. You said that he was confused and mistaken. Those were your two words. But Dr. Slaoui, the head of your Operation Warp Speed, has said exactly the same thing. Are they both wrong?",,112
181,President Donald J. Trump,"Well, I’ve spoken to the companies and we can have it a lot sooner. It’s a very political thing because people like this would rather make it political than save lives.",00:15,31
182,Vice President Joe Biden,God.,00:22,1
183,President Donald J. Trump,"It is a very political thing. I’ve spoken to Pfizer, I’ve spoken to all of the people that you have to speak to, Moderna, Johnson & Johnson, and others. They can go faster than that by a lot. It’s become very political because the left… Or I don’t know if I call them left, I don’t know what I call them.",00:23,61
184,Chris Wallace,"So you’re suggesting that the head of your Operation Warp Speed, Dr. Slaoui-",00:38,13
185,President Donald J. Trump,"I disagree with him. No, I disagree with both of them. And he didn’t say that. He said it could be there, but it could also be much sooner. I had him in my office two days ago.",00:42,38
186,Chris Wallace,"He talked about the summer, sir, before it’s generally available, just like Dr. Redfield.",00:49,14
187,President Donald J. Trump,Because he said it’s a possibility that we’ll have the answer before November 1st. It could also be after that.,00:53,20
188,Chris Wallace,"I’m talking about when it’s generally available, not-",00:59,8
189,President Donald J. Trump,"Well, we’re going to deliver it right away. We have the military all set up. Logistically, they’re all set up. We have our military that delivers soldiers and they can do 200,000 a day. They’re going to be delivering-",01:00,39
190,Vice President Joe Biden,This is the same man who told you-,01:11,8
191,President Donald J. Trump,It’s all set up.,01:13,4
192,Vice President Joe Biden,"… by Easter, this would be gone away. By the warm weather, it’d be gone. Miraculous, like a miracle. And by the way, maybe you could inject some bleach in your arm, and that would take care of it. This is the same man.",01:14,44
193,President Donald J. Trump,"That was said sarcastically, and you know that. That was said sarcastically.",01:24,12
194,Vice President Joe Biden,"So here’s the deal. This man is talking about a vaccine. Every serious company is talking about maybe having a vaccine done by the end of the year, but the distribution of that vaccine will not occur until sometime beginning of the middle of next year to get it out, if we get the vaccine. And pray God we will. Pray God we will.",01:28,64
195,Chris Wallace,"Mr. Vice President, I want to pick up-",01:49,8
196,President Donald J. Trump,You’ll have the vaccine sooner than that.,01:50,7
197,Chris Wallace,"I want to pick up on this question though. You say the public can trust the scientists, but they can’t trust President Trump. In fact, you said that again tonight. Your running mate, Senator Harris, goes further, saying that public health experts quote, “Will be muzzled, will be suppressed.” Given the fact that polls already show that people are concerned about the vaccine and are reluctant to take it, are you and your running mate, Senator Harris, contributing to that fear?",01:51,81
198,Vice President Joe Biden,No more than the question you just asked him. You pointed out he puts pressure and disagrees with his own scientists.,02:18,21
199,Chris Wallace,But you’re saying you can’t-,02:25,5
200,Vice President Joe Biden,Everybody knows-,02:26,2
201,Chris Wallace,Or Senator Harris is saying you can’t trust the scientist.,02:26,10
202,Vice President Joe Biden,"Well, no, no. You can trust the scientist. She didn’t say that. You can trust the-",02:28,16
203,Chris Wallace,"She said that public health experts quote, “Will be muzzled, will be suppressed.”",02:32,13
204,Vice President Joe Biden,"Yes. Well, that’s what he’s going to try to do, but there’s thousands of scientists out there, like here at this great hospital that don’t work for him. Their job doesn’t depend on him. They’re the people… And by the way-",02:36,41
205,President Donald J. Trump,We spoke to the scientists that are in charge-,02:51,9
206,Vice President Joe Biden,By the way-,02:53,3
207,President Donald J. Trump,… they will have the vaccine very soon.,02:53,8
208,Chris Wallace,Let him finish.,02:55,3
209,Vice President Joe Biden,"Do you believe for a moment what he’s telling you in light of all the lies he’s told you about the whole issue relating to COVID? He still hasn’t even acknowledged that he knew this was happening, knew how dangerous it was going to be back in February, and he didn’t even tell you. He’s on record as saying it. He panicked or he just looked at the stock market. One of the two. Because guess what? A lot of people died and a lot more are going to die unless he gets a lot smarter, a lot quicker-",02:55,99
210,Chris Wallace,Mr. President?,03:27,2
211,President Donald J. Trump,"Did you use the word smart? So you said you went to Delaware State, but you forgot the name of your college. You didn’t go to Delaware State. You graduated either the lowest or almost the lowest in your class. Don’t ever use the word smart with me. Don’t ever use that word.",03:28,53
212,Vice President Joe Biden,"Oh, give me a break.",03:44,5
213,President Donald J. Trump,"Because you know what? There’s nothing smart about you, Joe. 47 years you’ve done nothing.",03:44,15
214,Vice President Joe Biden,"Well, let’s have this debate-",03:49,5
215,President Donald J. Trump,"Let me just tell you something, Joe. If you would have had the charge of what I was put through, I had to close the greatest economy of the history of our country. And by the way, now it’s being built again and it’s going up fast.",03:51,47
216,Chris Wallace,"We’ll get to the economy in the next segment, sir.",04:02,10
217,President Donald J. Trump,Okay. It’s going up fast. I look forward to talking about it.,04:04,12
218,Chris Wallace,"Okay. When it comes to how the virus has been handled so far, the two of you have taken very different approaches, and this is going to affect how the virus is handled going forward by whichever of you ends up becoming the next president. I want to quickly go through several of those. Reopenings. Vice President Biden, you have been much more reluctant than President Trump about reopening the economy and schools. Why, sir?",04:06,75
219,Vice President Joe Biden,"Because he doesn’t have a plan. If I were running it, I’d know what the plan is. You’ve got to provide these businesses the ability to have the money to be able to reopen with the PPE, as well as with the sanitation they need. You have to provide them classic-",04:31,51
220,President Donald J. Trump,Tell that to Nancy Pelosi.,04:45,5
221,Vice President Joe Biden,Will he just shush for a minute?,04:47,7
222,President Donald J. Trump,"Tell that to Nancy Pelosi, and Schumer [crosstalk 00:04:52] Chuck.",04:49,10
